date_time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,long,lat
2019-07-25 23:24:32,ped,Street,ALFORD ST,SULLIVAN SQ,RUTHERFORD AVE,771688.020000000000,2966372.570000000000,-71.0723982076544,42.3870826781427
2022-07-26 00:45:19,mv,Intersection,,TONAWANDA ST,GREENBRIER ST,772296.040000000000,2933792.620000000000,-71.070748204397,42.2976741048788
2022-05-28 21:17:04,ped,Intersection,,MASSACHUSETTS AVE,HARRISON AVE,771037.090000000000,2947371.570000000000,-71.0751515480055,42.3349526555022
2017-02-22 15:51:48,ped,Intersection,,MASSACHUSETTS AVE,MELNEA CASS BLVD,771859.870000000000,2946498.890000000000,-71.0721247311405,42.332546701468
2015-07-03 22:38:02,ped,Intersection,,MELNEA CASS BLVD,SHAWMUT AVE,769049.340000000000,2946951.060000000000,-71.082510766899,42.3338257039002
2018-07-08 01:23:59,mv,Street,BOWDOIN ST,GENEVA AVE,BLAKEVILLE ST,772253.680000000000,2935943.070000000000,-71.070949944204,42.3037313792209
2017-07-30 08:02:04,mv,Street,MEADOW RD,NEPONSET VALLEY PKWY,DEAD END,755585.600000000000,2909164.690000000000,-71.1307341273472,42.2310340567592
2018-11-29 23:51:54,ped,Street,BROADWAY ,G ST,H ST,779986.980000000000,2947688.670000000000,-71.0420404198221,42.3355163270647
2017-05-29 20:33:04,ped,Street,TREMONT ST,UNION PARK,PUBLIC ALLEY NO. 701,771705.680000000000,2950560.760000000000,-71.0724549414202,42.3435251162168
2015-04-09 20:01:19,ped,Intersection,,MELNEA CASS BLVD,MASSACHUSETTS AVE,771859.870000000000,2946498.890000000000,-71.0721247311405,42.332546701468
2019-02-14 01:12:33,mv,Street,WASHINGTON ST,MESHAKA ST,DEAD END,747751.840000000000,2919167.790000000000,-71.1615152402544,42.2577261631434
2017-01-25 10:20:41,ped,Street,SOUTH ST,LIST PL,SOUTH STREET FWY,756400.170000000000,2929983.310000000000,-71.1295942093885,42.2872043007183
